origin_region,distance_band,bt_mode,factor
South East,5 to under 10 miles,RAIL,0.5503723297056555
South East,5 to under 10 miles,ROAD,1.0114475167683832
South East,5 to under 10 miles,SUBWAY,75.6053301136171
South East,5 to under 10 miles,WALKING,0.8203327400032774
South East,50 to under 100 miles,RAIL,1.8058060734891432
South East,50 to under 100 miles,ROAD,0.8574274281591302
South East,50 to under 100 miles,SUBWAY,0.01
South East,50 to under 100 miles,WALKING,0.01
South East,Under 1 mile,RAIL,0.01
South East,Under 1 mile,ROAD,0.25997750650027046
South East,Under 1 mile,SUBWAY,100.0
South East,Under 1 mile,WALKING,3.7396527169352325
South West,1 to under 2 miles,RAIL,0.22107888806836984
South West,1 to under 2 miles,ROAD,0.6862140055406157
South West,1 to under 2 miles,WALKING,4.582068966947435
South West,10 to under 25 miles,RAIL,0.9695903193628456
South West,10 to under 25 miles,ROAD,0.999722202943106
South West,10 to under 25 miles,WALKING,0.7860376661596581
South West,100 miles and over,RAIL,1.8109514785037932
South West,100 miles and over,ROAD,0.8862332753920557
South West,100 miles and over,SUBWAY,0.01
South West,100 miles and over,WALKING,0.01
South West,2 to under 5 miles,RAIL,0.4608589750902265
South West,2 to under 5 miles,ROAD,0.965933287568984
South West,2 to under 5 miles,WALKING,2.0820877311561055
South West,25 to under 50 miles,RAIL,1.4572465192229718
South West,25 to under 50 miles,ROAD,0.9777287687055459
South West,25 to under 50 miles,WALKING,0.01
South West,5 to under 10 miles,RAIL,0.3709474856111578
South West,5 to under 10 miles,ROAD,1.0163982234064777
South West,5 to under 10 miles,WALKING,0.17019945183336263
South West,50 to under 100 miles,RAIL,0.9226498498447143
South West,50 to under 100 miles,ROAD,1.007460727503328
South West,50 to under 100 miles,SUBWAY,0.01
South West,50 to under 100 miles,WALKING,0.01
South West,Under 1 mile,RAIL,0.01
South West,Under 1 mile,ROAD,0.2178022839381915
South West,Under 1 mile,WALKING,4.0364502060967276
Wales,1 to under 2 miles,RAIL,0.9999999998403805
Wales,1 to under 2 miles,ROAD,0.9999999999989007
Wales,1 to under 2 miles,WALKING,0.9999999999881147
Wales,10 to under 25 miles,RAIL,0.9999999999627824
Wales,10 to under 25 miles,ROAD,0.9999999999989673
Wales,10 to under 25 miles,WALKING,0.9999999997929672
Wales,100 miles and over,RAIL,0.9999999999916498
Wales,100 miles and over,ROAD,0.9999999999988637
Wales,100 miles and over,SUBWAY,0.9999999769474275
Wales,100 miles and over,WALKING,0.999999994610576
Wales,2 to under 5 miles,RAIL,0.9999999998990988
Wales,2 to under 5 miles,ROAD,0.9999999999989528
Wales,2 to under 5 miles,WALKING,0.9999999999715603
Wales,25 to under 50 miles,RAIL,0.999999999977248
Wales,25 to under 50 miles,ROAD,0.999999999998954
Wales,25 to under 50 miles,WALKING,0.9999999930368673
Wales,5 to under 10 miles,RAIL,0.9999999999316089
Wales,5 to under 10 miles,ROAD,0.9999999999989724
Wales,5 to under 10 miles,WALKING,0.9999999999185859
Wales,50 to under 100 miles,RAIL,0.9999999999767143
Wales,50 to under 100 miles,ROAD,0.9999999999989551
